Language,Code,Tweets,Users,Avg. tweets per user,Tweets by multilinguals,Multilinguals,Avg. tweets per multilingual user,Total users,Total multilinguals
Afrikaans,afr,69009,24782,2.784642079,67775,24640,2.750608766,17694811,3275235
Albanian,sqi,26682,5155,5.175945684,18237,4807,3.793842313,17694811,3275235
Amharic,amh,279,16,17.4375,224,11,20.36363636,17694811,3275235
Arabic,ara,9993172,366643,27.2558647,4013588,119350,33.62872225,17694811,3275235
Armenian,hye,6391,253,25.26086957,1771,140,12.65,17694811,3275235
Azerbaijani,aze,12794,1261,10.14591594,9330,1088,8.575367647,17694811,3275235
Basque,eus,12104,1950,6.207179487,9117,1687,5.404267931,17694811,3275235
Belarusian,bel,2015,256,7.87109375,1601,221,7.244343891,17694811,3275235
Bengali,ben,4247,178,23.85955056,2545,110,23.13636364,17694811,3275235
Bulgarian,bul,23252,1633,14.23882425,14300,1050,13.61904762,17694811,3275235
Burmese,mya,853,49,17.40816327,367,29,12.65517241,17694811,3275235
Catalan,cat,236424,32376,7.302446256,185625,27431,6.766978965,17694811,3275235
Central Khmer,khm,772,37,20.86486486,182,24,7.583333333,17694811,3275235
Cherokee,chr,75,14,5.357142857,75,14,5.357142857,17694811,3275235
Chinese,zho,453837,24113,18.82125824,167628,11757,14.25771881,17694811,3275235
Czech,ces,94324,24573,3.838521955,79967,23176,3.450422851,17694811,3275235
Danish,dan,64537,12029,5.365117632,54764,11075,4.9448307,17694811,3275235
Dhivehi,div,519,44,11.79545455,322,37,8.702702703,17694811,3275235
Dutch,nld,10526980,435128,24.19283521,7934851,231807,34.23042013,17694811,3275235
English,eng,255351176,10859465,23.51415802,40902582,3129456,13.0701892,17694811,3275235
Estonian,est,22197,2078,10.68190568,10352,1055,9.812322275,17694811,3275235
Filipino (macrolanguage),fil,1905619,257611,7.397273408,1854704,250959,7.390466172,17694811,3275235
Finnish,fin,41165,3856,10.67557054,26575,3007,8.837712005,17694811,3275235
French,fra,3434065,147843,23.22778217,2521007,84199,29.94105631,17694811,3275235
Galician,glg,26035,9302,2.79886046,25574,9257,2.762666091,17694811,3275235
Georgian,kat,5087,416,12.22836538,2916,268,10.88059701,17694811,3275235
German,deu,1705256,73897,23.07611946,1053413,38388,27.44120559,17694811,3275235
Gujarati,guj,791,66,11.98484848,272,48,5.666666667,17694811,3275235
Haitian,hat,22204,2600,8.54,21305,2496,8.535657051,17694811,3275235
Hebrew,heb,77937,3384,23.03102837,35135,1550,22.66774194,17694811,3275235
Hindi,hin,12021,1171,10.26558497,7673,977,7.853633572,17694811,3275235
Hungarian,hun,92093,4804,19.17006661,59643,2660,22.42218045,17694811,3275235
Icelandic,isl,5391,588,9.168367347,2994,360,8.316666667,17694811,3275235
Inuktitut,iku,21,6,3.5,21,6,3.5,17694811,3275235
Irish,gle,1534,359,4.272980501,1354,344,3.936046512,17694811,3275235
Italian,ita,1586225,89242,17.77442236,1094603,52558,20.82657255,17694811,3275235
Japanese,jpn,91669691,2602426,35.2247061,14746645,124833,118.130983,17694811,3275235
Kannada,kan,790,101,7.821782178,315,92,3.423913043,17694811,3275235
Korean,kor,11674755,289982,40.26027478,2336502,56893,41.06835639,17694811,3275235
Lao,lao,439,91,4.824175824,291,80,3.6375,17694811,3275235
Latvian,lav,168312,13573,12.40050099,76287,5280,14.44829545,17694811,3275235
Lithuanian,lit,7629,696,10.9612069,4746,508,9.342519685,17694811,3275235
Macedonian,mkd,10455,890,11.74719101,7190,700,10.27142857,17694811,3275235
Malay (macrolanguage),msa,49546710,1651705,29.99731187,39692200,1033758,38.39602692,17694811,3275235
Malayalam,mal,5830,216,26.99074074,2578,146,17.65753425,17694811,3275235
Maltese,mlt,2838,1156,2.455017301,2772,1150,2.410434783,17694811,3275235
Modern Greek (1453-),ell,526527,30609,17.20170538,281513,21830,12.895694,17694811,3275235
Norwegian,nor,170430,16500,10.32909091,122592,11126,11.01851519,17694811,3275235
Oriya (macrolanguage),ori,238,3,79.33333333,2,1,2,17694811,3275235
Panjabi,pan,853,218,3.912844037,715,205,3.487804878,17694811,3275235
Persian,fas,79657,2719,29.29643251,43850,1232,35.59253247,17694811,3275235
Polish,pol,167597,8207,20.42122578,125844,5173,24.32708293,17694811,3